Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-June-2023,1303.00,1338.85,1303.00,1335.20,1326.599553181897806340,1204517,54032,1597911714.00,879824,73.04,35.85,32.20
28-June-2023,1287.05,1296.00,1281.40,1293.65,1290.677418289046560995,121067,6765,156258443.00,58445,48.27,14.60,6.60
27-June-2023,1275.05,1282.00,1274.55,1278.95,1278.866041421747510018,228817,13343,292626291.00,130380,56.98,7.45,3.90
26-June-2023,1268.05,1273.00,1262.30,1270.40,1270.228816238458450421,398560,19941,506262397.00,294114,73.79,10.70,2.35
23-June-2023,1276.00,1279.40,1263.60,1265.65,1270.790617303002552382,492481,35627,625840234.00,324439,65.88,15.80,-10.35
22-June-2023,1292.75,1292.75,1273.35,1282.60,1283.192979208658412289,437586,28926,561507283.00,311145,71.10,19.40,-10.15
21-June-2023,1303.50,1304.00,1295.10,1301.40,1300.830220350363181346,393192,9858,511476036.00,348521,88.64,8.90,-2.10
20-June-2023,1293.20,1304.40,1291.00,1303.15,1299.946475541620209810,324674,18584,422058822.00,213813,65.85,13.40,9.95
19-June-2023,1292.65,1299.00,1287.20,1295.25,1293.324983825080431449,564145,23180,729622823.00,420111,74.47,11.80,2.60
16-June-2023,1286.75,1301.20,1281.15,1292.65,1286.769673108381623090,180335,9031,232049609.00,113363,62.86,20.05,5.90
15-June-2023,1296.00,1296.00,1283.15,1286.75,1288.172155391865342228,509499,21656,656322425.00,357495,70.17,12.85,-9.25
14-June-2023,1306.00,1307.70,1293.05,1301.45,1298.302960208821669527,420646,20131,546125947.00,235325,55.94,14.65,-4.55
13-June-2023,1299.90,1306.20,1297.25,1305.35,1303.677443931026710244,221825,12818,289188249.00,159183,71.76,8.95,5.45
12-June-2023,1271.10,1295.00,1271.10,1291.90,1288.056137779592209326,394369,18912,507969411.00,242278,61.43,23.90,20.80
9-June-2023,1283.10,1283.10,1264.20,1266.00,1268.796919613735282480,374044,43112,474585875.00,266462,71.24,18.90,-17.10
8-June-2023,1284.00,1292.00,1281.10,1283.10,1287.479109709534917056,383695,25129,493999297.00,248489,64.76,10.90,-0.90
7-June-2023,1285.10,1293.60,1282.45,1289.00,1287.991422888468442245,309195,18796,398240508.00,164064,53.06,11.15,3.90
6-June-2023,1290.00,1290.00,1273.15,1279.10,1279.094429730728904673,495003,50057,633155580.00,332039,67.08,16.85,-10.90
5-June-2023,1300.05,1309.50,1297.20,1304.95,1306.083858176391034703,228481,9438,298415346.00,175438,76.78,12.30,4.90
2-June-2023,1311.15,1311.80,1296.10,1298.65,1303.536074518183515548,241015,11215,314171747.00,172927,71.75,15.70,-12.50
1-June-2023,1322.10,1329.50,1317.60,1319.45,1323.370419081498853161,252433,15543,334062365.00,144257,57.15,11.90,-2.65
31-May-2023,1320.00,1331.05,1314.00,1322.10,1325.467813804173354735,155750,6818,206441612.00,65107,41.80,17.05,2.10
30-May-2023,1314.00,1326.05,1309.25,1322.90,1318.244079801938427719,90073,6643,118738199.00,40341,44.79,16.80,8.90
29-May-2023,1332.10,1332.15,1310.50,1314.30,1315.289051603905160390,172080,9536,226334940.00,115213,66.95,21.65,-17.80
26-May-2023,1309.00,1323.10,1307.00,1317.30,1317.018140797697684953,337747,19613,444818926.00,230768,68.33,16.10,8.30
25-May-2023,1295.00,1307.00,1289.20,1304.50,1296.473698107953699836,208293,7546,270046396.00,157547,75.64,17.80,9.50
24-May-2023,1297.00,1305.20,1291.05,1298.45,1301.567253330493205882,450684,15173,586595536.00,373544,82.88,14.15,1.45
23-May-2023,1293.30,1313.75,1293.30,1299.60,1308.098609918958386747,1076484,31286,1408147224.00,779797,72.44,20.45,6.30
22-May-2023,1270.60,1296.20,1270.60,1293.05,1287.133846293522175314,308406,9565,396959801.00,198312,64.30,25.60,22.45
19-May-2023,1252.20,1273.10,1252.20,1268.85,1267.717145465493463861,257415,8516,326329409.00,176399,68.53,20.90,16.65
18-May-2023,1256.00,1259.40,1243.00,1245.90,1253.614663114083207077,574230,31463,719863148.00,419275,73.02,16.40,-10.10
17-May-2023,1264.45,1264.45,1242.35,1247.45,1247.244245788103541431,508975,13615,634816140.00,429160,84.32,22.10,-17.00
16-May-2023,1265.00,1273.50,1262.50,1264.15,1268.878724589528919167,500827,22246,635488725.00,338804,67.65,11.00,-0.85
15-May-2023,1249.05,1268.50,1245.55,1258.75,1262.485257061514530562,522657,23716,659846757.00,303813,58.13,22.95,9.70
12-May-2023,1256.10,1256.10,1239.00,1245.55,1247.518590631867889390,566495,42582,706713044.00,403992,71.31,17.10,-10.55
11-May-2023,1270.00,1275.55,1253.35,1256.10,1264.302623952202603887,269136,12426,340269351.00,201705,74.95,22.20,-13.90
10-May-2023,1275.00,1275.45,1259.80,1263.10,1264.392882259011971836,241734,11135,305646749.00,192307,79.55,15.65,-11.90
9-May-2023,1267.95,1272.00,1260.40,1270.60,1268.537105276321462344,419819,17486,532555979.00,291281,69.38,11.60,2.65
8-May-2023,1260.15,1270.70,1255.05,1266.25,1265.389038766817893978,230558,12851,291745566.00,177245,76.88,15.65,6.10
5-May-2023,1276.55,1277.00,1254.05,1259.05,1263.155257907109978466,303714,24520,383637936.00,157403,51.83,22.95,-17.50
4-May-2023,1271.80,1275.50,1262.35,1273.55,1270.994009086999194962,362716,18188,461009863.00,206716,56.99,13.15,1.75
3-May-2023,1269.90,1272.50,1262.20,1269.35,1268.842625369794933539,416109,19393,527976836.00,268678,64.57,10.30,-0.55
2-May-2023,1254.95,1279.75,1254.95,1277.65,1270.933155906683361536,190877,8580,242591908.00,82849,43.40,24.80,22.70
28-April-2023,1255.00,1259.20,1245.10,1252.55,1252.339949227886971077,451035,25340,564849149.00,244153,54.13,14.10,-2.45
27-April-2023,1228.05,1248.60,1225.30,1246.55,1237.469933460992712394,145178,7243,179653410.00,68126,46.93,23.30,18.50
26-April-2023,1227.50,1233.00,1220.75,1227.50,1227.169684157803246810,135764,7587,166605465.00,84643,62.35,12.25,0.00
25-April-2023,1226.30,1235.00,1215.45,1224.55,1226.473817149882373603,432726,31804,530727109.00,238541,55.13,19.55,-1.75
24-April-2023,1230.00,1231.00,1218.05,1226.30,1223.127502588414800283,367020,26723,448912256.00,195559,53.28,12.95,-3.70
21-April-2023,1227.00,1233.45,1220.00,1227.45,1226.908758260201003415,561881,34362,689376720.00,402007,71.55,13.45,0.45
20-April-2023,1232.00,1237.90,1221.85,1223.85,1227.765819920789317904,731467,52016,898070181.00,495760,67.78,16.05,-8.15
19-April-2023,1257.60,1257.60,1230.00,1232.20,1239.046420226103827170,819535,62302,1015441908.00,571804,69.77,27.60,-25.40
18-April-2023,1266.30,1274.30,1252.85,1260.95,1260.989312205106256665,579446,27224,730675213.00,365492,63.08,21.45,-5.35
17-April-2023,1249.75,1300.00,1219.00,1258.10,1240.433975278390533102,1697705,69387,2105890962.00,843465,49.68,81.00,8.35
13-April-2023,1413.00,1413.00,1383.60,1388.60,1393.808314121840761594,609878,44382,850053027.00,426682,69.96,29.40,-24.40
12-April-2023,1412.00,1431.55,1400.00,1428.45,1417.964743249965342618,245258,12805,347767197.00,126314,51.50,31.55,16.45
11-April-2023,1430.75,1433.05,1389.00,1407.05,1402.129186615347706814,383484,10470,537694109.00,246919,64.39,44.05,-23.70
10-April-2023,1422.00,1433.95,1414.20,1427.30,1429.085303521171691679,282122,12773,403176404.00,149665,53.05,19.75,5.30
6-April-2023,1423.30,1427.95,1410.50,1422.10,1420.216043765572527353,92310,6657,131100143.00,38881,42.12,17.45,-1.20
5-April-2023,1396.00,1427.00,1396.00,1423.35,1419.710065162793854786,176788,12937,250987703.00,98472,55.70,31.00,27.35
3-April-2023,1431.05,1438.00,1405.35,1410.95,1413.574471077358507150,113769,6714,160820954.00,56411,49.58,32.65,-20.10
31-March-2023,1408.00,1430.00,1394.00,1427.70,1414.958728872850462127,135785,7238,192130171.00,58147,42.82,36.00,19.70
29-March-2023,1377.60,1389.00,1365.00,1383.50,1373.688989744606876596,171422,12118,235480514.00,105976,61.82,24.00,5.90
28-March-2023,1391.50,1397.50,1376.00,1377.40,1384.740395992152046608,133538,6830,184915463.00,93086,69.71,21.50,-14.10
27-March-2023,1384.00,1395.75,1374.05,1388.90,1388.099674738764439545,92541,6062,128456132.00,45673,49.35,21.70,4.90
24-March-2023,1386.00,1399.00,1378.00,1380.45,1390.895605226613380020,218191,12232,303480903.00,149366,68.46,21.00,-5.55
23-March-2023,1383.50,1383.50,1370.40,1374.50,1376.673968179582714288,388367,32440,534654739.00,212948,54.83,13.10,-9.00
22-March-2023,1402.00,1406.65,1382.20,1389.45,1390.492740102176339740,245458,21757,341307567.00,132293,53.90,24.45,-12.55
21-March-2023,1403.80,1405.60,1390.05,1391.05,1395.065875050060072086,249700,30172,348347949.00,189503,75.89,15.55,-12.75
20-March-2023,1418.80,1419.65,1385.70,1403.80,1400.039858344033467257,241430,25152,338011623.00,137141,56.80,33.95,-15.00
17-March-2023,1429.00,1442.65,1411.60,1420.85,1431.551512230389203518,248970,20175,356413380.00,110346,44.32,31.05,-8.15
16-March-2023,1413.30,1416.30,1399.20,1406.20,1407.407256987121252605,205843,11554,289704932.00,139599,67.82,17.10,-7.10
15-March-2023,1435.10,1441.90,1416.90,1419.35,1424.523339478334696680,419311,27150,597318306.00,325889,77.72,25.00,-15.75
14-March-2023,1439.70,1448.40,1411.20,1421.05,1425.557496687739879611,819682,23283,1168503820.00,209646,25.58,37.20,-18.65
13-March-2023,1462.00,1478.35,1428.00,1434.80,1447.123406264756807807,273179,17793,395323725.00,179639,65.76,50.35,-27.20
10-March-2023,1460.00,1474.50,1457.10,1471.35,1466.938890456659308883,258683,16951,379472153.00,186984,72.28,17.40,11.35
9-March-2023,1495.20,1498.60,1475.00,1480.75,1485.618716240547353258,111080,7477,165022527.00,68932,62.06,23.60,-14.45
8-March-2023,1488.00,1494.75,1481.45,1492.50,1488.144260523601355665,162872,17536,242377032.00,105819,64.97,13.30,4.50
6-March-2023,1489.90,1520.00,1489.90,1507.55,1510.649755476052639865,412843,20515,623661177.00,256097,62.03,30.10,17.65
3-March-2023,1489.00,1489.00,1473.60,1479.80,1480.005962059620596205,99630,4883,147452994.00,60841,61.07,15.40,-9.20
2-March-2023,1489.95,1489.95,1467.90,1472.10,1474.463750496125002611,239355,23212,352920271.00,176480,73.73,22.05,-17.85
1-March-2023,1492.00,1501.00,1481.75,1496.65,1494.452394636549803864,179213,9566,267825297.00,146896,81.97,19.25,4.65
